model,features,valid_roc_auc,valid_auc_pr,valid_ks,test_roc_auc,test_auc_pr,test_ks
LR,"Amount,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28",0.9815196464147595,0.8398422043255862,0.91628969881636,0.9765263738581604,0.708247430831357,0.8479845753627656
XGBoost,"Amount,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28",0.9886156267264904,0.8571469169177093,0.9183522793859136,0.9731303756825799,0.7655050803511284,0.820176150222554
LGBM,"Amount,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28",0.9874730039677889,0.862720929574061,0.9194538849173797,0.9732903729423451,0.7748488000678817,0.838279276794358
